pathogen_name	taxonid	ARG_name	aro_id	frequency	antibiotic_name	drugclass	associated_MGE_type	associated_MGE_element
Salmonella enterica	28901	Tetracycline-resistant ribosomal protection protein	0000002	0.005229		Tetracycline antibiotic		
Salmonella enterica	28901	ATP-binding cassette (ABC) antibiotic efflux pump	0010001	0.999909				
Salmonella enterica	28901	Major facilitator superfamily (MFS) antibiotic efflux pump	0010002	0.999909				
Salmonella enterica	28901	Resistance-nodulation-cell division (RND) antibiotic efflux pump	0010004	0.99855				
Salmonella enterica	28901	Determinant of antibiotic resistance	3000000	0.999924				
Salmonella enterica	28901	Beta-lactamase	3000001	0.999876				
Salmonella enterica	28901	VanW	3000002	0.000002		glycoPeptide antibiotic		
Salmonella enterica	28901	Class B (metallo-) beta-lactamase	3000004	0.999839				
Salmonella enterica	28901	VanH	3000006	0.000011		glycoPeptide antibiotic		
Salmonella enterica	28901	VanA	3000010	0.000004		glycoPeptide antibiotic		
Salmonella enterica	28901	VanX	3000011	0.000007		glycoPeptide antibiotic		
Salmonella enterica	28901	VanB	3000013	0.000002		glycoPeptide antibiotic		
Salmonella enterica	28901	TEM beta-lactamase	3000014	0.085537	Ampicillin	Penam		
Salmonella enterica	28901	CTX-M beta-lactamase	3000016	0.020134		Cephalosporin		
Salmonella enterica	28901	OXA beta-lactamase	3000017	0.004931	Cefalotin,ClOxacillin,Oxacillin	Cephalosporin,Penam		
Salmonella enterica	28901	VIM beta-lactamase	3000021	0.000039		CarbaPenem,Cephalosporin,Cephamycin,Penam,Penem		
Salmonella enterica	28901	EmrA	3000027	0.019387		Fluoroquinolone antibiotic		
Salmonella enterica	28901	VEB beta-lactamase	3000043	0.000015		Cephalosporin,Monobactam		
Salmonella enterica	28901	PER beta-lactamase	3000056	0.000015		CarbaPenem,Cephalosporin,Monobactam,Penam,Penem		
Salmonella enterica	28901	NDM beta-lactamase	3000057	0.000085		CarbaPenem,Cephalosporin,Cephamycin,Penam		
Salmonella enterica	28901	MIR beta-lactamase	3000058	0.025311		Cephalosporin,Monobactam		
Salmonella enterica	28901	KPC beta-lactamase	3000059	0.000015		CarbaPenem,Cephalosporin,Monobactam,Penam		
Salmonella enterica	28901	FOX beta-lactamase	3000067	0.025311		Cephalosporin,Cephamycin		
Salmonella enterica	28901	DHA beta-lactamase	3000068	0.000564		Cephalosporin,Cephamycin		
Salmonella enterica	28901	CMY beta-lactamase	3000069	0.025311		Cephamycin		
Salmonella enterica	28901	VanS	3000071	0.000009		glycoPeptide antibiotic		
Salmonella enterica	28901	ACT beta-lactamase	3000072	0.025311		CarbaPenem,Cephalosporin,Cephamycin,Penam		
Salmonella enterica	28901	EmrB	3000074	0.999558		Fluoroquinolone antibiotic	plasmid,IS	IncHI1A,AP001918(IncFIB),IS110,R27(IncHI1B),HI1(IncFIA)
Salmonella enterica	28901	Class D beta-lactamase	3000075	0.004931				
Salmonella enterica	28901	Class C beta-lactamase	3000076	0.025794				
Salmonella enterica	28901	VanY	3000077	0.000007		glycoPeptide antibiotic		
Salmonella enterica	28901	Class A beta-lactamase	3000078	0.11714				
Salmonella enterica	28901	MOX beta-lactamase	3000083	0.025311		Cephalosporin,Cephamycin,Penam		
Salmonella enterica	28901	Bla1	3000090	0.000007		Penam		
Salmonella enterica	28901	CARB beta-lactamase	3000091	0.014911		Penam		
Salmonella enterica	28901	SHV-LEN beta-lactamase	3000096	0.001293				
Salmonella enterica	28901	Multidrug and toxic compound extrusion (MATE) transporter	3000112	0.999658				
Salmonella enterica	28901	VanZ	3000116	0.000002		glycoPeptide antibiotic		
Salmonella enterica	28901	Aminoglycoside acetyltransferase (AAC)	3000121	0.036965				
Salmonella enterica	28901	Chloramphenicol acetyltransferase (CAT)	3000122	0.015978		Phenicol antibiotic		
Salmonella enterica	28901	APH(3')	3000126	0.133255		Aminoglycoside antibiotic		
Salmonella enterica	28901	APH(6)	3000151	0.112381		Aminoglycoside antibiotic		
Salmonella enterica	28901	Tet(A)	3000165	0.19205	Tetracycline	Tetracycline antibiotic	plasmid,transposon,integron,IS	pCRENT-193_1,pSI96-1,p33676_IncA/C,pCVM22513,S(IncFIB),pLKSZ04,p14EC020b,pAR-0406-1,pSE104-1,In2-10,Col440I,pSNE2-1926,pAR-0401-1,HI1(IncFIA),pST95-32-1,pSal009,p13C1065T-3,3,In282,pCVM44454,pB171_90,IncHI2,pG3X16-2-3,IncN,pFSIS1502169,IncX1,p16-6773.1,pSTY1-1896,In1021,p2974-D,pSNE1-1924,2,pN45955_1,A,tig00000053_pilon,pEA-1,IS91,pCFSAN086833,pYU39_IncA/C,pSNE1-1925,psg_ww281,In1368,pRM12581,pM-3471_DHA,pUMNK88,pCVMN1543,IncFII,pCoo(IncFII),pSC138,p1919D3-1,pSal-3973_DHA_CMY,unitig_2_pilon,pM-3851_DHA,pCVM21550,pLD22-1-135kb,pSH11G0791,pLAP2_020030,p14EC047b,In880,pSI67-1,pCFSAN003890,pSNE2-1923,pMTY14343_IncN,pSE124-1,In879,pSI102-1,pSN254,p34981_1,IncHI2A,pL73-2,pCFSAN074384_1,IncA/C2,pAUSMDU00008979_01,p846,pSGB23,p6234-198.371kb,pEGY1-MCR-1,pMRGN1031,pCFSAN000934_02,pTC_N40607,pE2865-3,IncQ1,pTB202,pHS13-1-IncF,pSTY1-2010K-1587,pSE95-0621-1,pN53043_1,In208,In504,pSARB26_02,pCVM22425,pAMSH1,IncB/O/K/Z,pSI115-1,SARC14(IncFII),In277,In1004,pHS30-1,pSH-04-1,pYPE12-101k-tetX4,IncR,pGMI17-001_1,R27(IncHI1B),In556,In467,pSal-4737_DHA,pCVM19633_110,pAR-0408,pPC9,pMH16-367M_1,pESI,pSA20082869.1,pSL26_IncA/C2,p13C1065T-2,pSA20025921.2,pEF05,p14EC007b,pSARA13,pD90-1,In555,p1CFSAN000318,unitig_2,pCFSAN086835,In498,tig00001160,pNDM-CIT(IncHI1B),p2EC1-2,pCVM21538,pHS13-1-IncHI2,pSDU1-USMARC-69807,pCFSA664-1,p12367A,pSI85-1,pS7966-1,pCFSA1096,pNDM-CIT(IncHI1A),FII(IncFIC),pMRSN346595_67.9,pHR2-1,pUTI89(IncFII),pEC974-2,pR18.0877_278k,IncHI1A,pUO-STmRV1,pTB222,pYU07-18_IncA/C2,pCFSAN000405_01,p280_9355,pSE74-1357,plas4.1.1,IncAC2,pEQAS2016S1-1,p12-6919.2,K(IncFIB),IncP6,pO83_CORR,pS7697-1,p600657_8,pFT130-2,pSNE2-2012K-0663,pGSU10-3-2,pSNE1-1929,pET8.1-IncAC2,p3,pSO21_IncA/C2,pNV-Y394,pAsa5-3432,pHN7A8(IncFII),p1916D18-1,pSC-31-2,p22429,pMTY18780-1_lncHI2,pM-5360_DHA,pCFSAN086834,p0111,pAR-0429-1,pCTXM9_020038,IncA/C,p94EC-1,pSI170-1,pCFSAN086837,IncX2,p13520,pTB601,IS5,pEco118UIb,pKP27-MCR1,pSA20143792.1,pR16.0676_90k,IS6,AP001918(IncFIB),pGMI17-004_1,pN55391,pAR-0427-1,p12519B,pCV839-06-p1,p10-3881.1,pTH164-1,pEF04,p2EC1-1,IncFIA,pSA20070548.1,Yp(IncFII),pSCU-118-1,p276M-CTX-M-55,pZF31-tetX-119kb,pLKSZ02,pSDU2-USMARC-69840,PDM04,p22453_1,pSA20025921.1,pECAZ147_1,pST-1,pSEEH1578_01,pSE08-00436-1,pColV-PU1,In784,p1493-3,pM160133_p2,S(IncFII),pSNE3-1928,IS4,p280_12888,pEIB202,p13C1065T-1,pYPE10-78k,pMCR8_095845,pFSIS1502916,p12-4374_96,pMR0617aac,pS7627-1,In119,pPNCS014854_S1,pK91,pRS571-MCR-1.1,pTB-nb4,pCHL5009T-94k,In1114,p14EC033f,pMR0716_tem1,1205p1,pCTXM199_025970,pSAN1-1736,p11k,pST101-1,pFORC19,In1000,pMCR1-PA,pQnrS1_035148,pSI108-1,tig00007555j7554,ColRNAI,pFORC82_1,Tn1721,Alpha(IncI1),p77k,pL53-2,pFORC74_3,p0.1229_2,p08-5333.1,pS40-2,pCP131-IncFIB,pTH114-1,pAMSC1,pMU407(IncL/M),pSal-5091_DHA,pMRSN346595_120.3,pLAP2_020079,pMR0617tem,IncY,pSA186_3,p13P484A-2,pSal-5364,pK18EC051
