pathogen_name,taxonid,ARG_name,frequency,antibiotic_name
Staphylococcus aureus,1280,Tetracycline-resistant ribosomal protection protein,0.121480000000000,Tetracycline antibiotic
Staphylococcus aureus,1280,VanH,0.000530000000000,glycoPeptide antibiotic
Staphylococcus aureus,1280,VanA,0.000544000000000,glycoPeptide antibiotic
Staphylococcus aureus,1280,VanX,0.000544000000000,glycoPeptide antibiotic
Staphylococcus aureus,1280,TEM beta-lactamase,0.000557000000000,Ampicillin
Staphylococcus aureus,1280,OXA beta-lactamase,0.000041000000000,"Cefalotin,ClOxacillin,Oxacillin"
Staphylococcus aureus,1280,MepA,0.998763000000000,Tigecycline
Staphylococcus aureus,1280,KPC beta-lactamase,0.000014000000000,"CarbaPenem,Cephalosporin,Monobactam,Penam"
Staphylococcus aureus,1280,VanS,0.000530000000000,glycoPeptide antibiotic
Staphylococcus aureus,1280,EmrB,0.999905000000000,Fluoroquinolone antibiotic
Staphylococcus aureus,1280,VanY,0.000557000000000,glycoPeptide antibiotic
Staphylococcus aureus,1280,Bla1,0.628520000000000,Penam
Staphylococcus aureus,1280,VanZ,0.000544000000000,glycoPeptide antibiotic
Staphylococcus aureus,1280,VgaB,0.000041000000000,"Dalfopristin,Virginiamycin M1"
Staphylococcus aureus,1280,Chloramphenicol acetyltransferase (CAT),0.019583000000000,Phenicol antibiotic
Staphylococcus aureus,1280,MecI,0.146105000000000,"CarbaPenem,Cephalosporin,Cephamycin,Monobactam,Penam"
Staphylococcus aureus,1280,APH(3'),0.294996000000000,Aminoglycoside antibiotic
Staphylococcus aureus,1280,APH(6),0.000027000000000,Aminoglycoside antibiotic
Staphylococcus aureus,1280,Tet(A),0.000014000000000,Tetracycline
Staphylococcus aureus,1280,Tet(C),0.000136000000000,Tetracycline
Staphylococcus aureus,1280,Tet(K),0.119578000000000,Tetracycline
Staphylococcus aureus,1280,Tet(L),0.000313000000000,Tetracycline
Staphylococcus aureus,1280,Tet(M),0.122350000000000,"Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline"
Staphylococcus aureus,1280,Tet(O),0.122228000000000,"Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline"
Staphylococcus aureus,1280,Tet(S),0.122228000000000,"Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline"
Staphylococcus aureus,1280,Tet(T),0.001128000000000,"Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline"
Staphylococcus aureus,1280,Tet(W),0.122228000000000,"Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline"
Staphylococcus aureus,1280,Cfr 23S ribosomal RNA methyltransferase,0.996834000000000,"Lincosamide antibiotic,Oxazolidinone antibiotic,Phenicol antibiotic,Streptogramin antibiotic"
Staphylococcus aureus,1280,MecR1,0.536421000000000,"CarbaPenem,Cephalosporin,Cephamycin,Monobactam,Penam"
Staphylococcus aureus,1280,AcrB,0.999375000000000,"Cephalosporin,Disinfecting agents and antiseptics,Fluoroquinolone antibiotic,Penam,Phenicol antibiotic,Rifamycin antibiotic,Tetracycline antibiotic"
Staphylococcus aureus,1280,BlaR1,0.562813000000000,Penam
Staphylococcus aureus,1280,ANT(6),0.051044000000000,Aminoglycoside antibiotic
Staphylococcus aureus,1280,ANT(9),0.224804000000000,Aminoglycoside antibiotic
Staphylococcus aureus,1280,ANT(3'')-Ia,0.000041000000000,Aminoglycoside antibiotic
Staphylococcus aureus,1280,TolC,0.000014000000000,"Aminocoumarin antibiotic,Aminoglycoside antibiotic,CarbaPenem,Cephalosporin,Cephamycin,Disinfecting agents and antiseptics,Fluoroquinolone antibiotic,Macrolide antibiotic,Penam,Penem,Peptide antibiotic,Phenicol antibiotic,Rifamycin antibiotic,Tetracycline antibiotic"
Staphylococcus aureus,1280,ErmC,0.156162000000000,"Azithromycin,Clarithromycin,Clindamycin,Dalfopristin,Dirithromycin,Erythromycin,Griseoviridin,Lincomycin,Madumycin II,Oleandomycin,Ostreogrycin B3,Patricin A,Patricin B,Pristinamycin IA,Pristinamycin IB,Pristinamycin IC,Quinupristin,Roxithromycin,Spiramycin,Telithromycin,Tylosin,Vernamycin C,Virginiamycin M1,Virginiamycin S2"
Staphylococcus aureus,1280,MsrA,0.137775000000000,"Erythromycin,Quinupristin"
Staphylococcus aureus,1280,LsaA,0.000027000000000,"Clindamycin,Dalfopristin,Pleuromutilin,Quinupristin"
Staphylococcus aureus,1280,MphC,0.132692000000000,"Azithromycin,Clarithromycin,Dirithromycin,Erythromycin,Oleandomycin,Roxithromycin,Spiramycin,Telithromycin,Tylosin"
Staphylococcus aureus,1280,AAC(3),0.000027000000000,Aminoglycoside antibiotic
Staphylococcus aureus,1280,ErmA,0.204351000000000,"Azithromycin,Clarithromycin,Clindamycin,Dalfopristin,Dirithromycin,Erythromycin,Griseoviridin,Lincomycin,Madumycin II,Oleandomycin,Ostreogrycin B3,Patricin A,Patricin B,Pristinamycin IA,Pristinamycin IB,Pristinamycin IC,Quinupristin,Roxithromycin,Spiramycin,Telithromycin,Tylosin,Vernamycin C,Virginiamycin M1,Virginiamycin S2"
Staphylococcus aureus,1280,ErmB,0.027329000000000,"Azithromycin,Clarithromycin,Clindamycin,Dalfopristin,Dirithromycin,Erythromycin,Griseoviridin,Lincomycin,Madumycin II,Oleandomycin,Ostreogrycin B3,Patricin A,Patricin B,Pristinamycin IA,Pristinamycin IB,Pristinamycin IC,Quinupristin,Roxithromycin,Spiramycin,Telithromycin,Tylosin,Vernamycin C,Virginiamycin M1,Virginiamycin S2"
Staphylococcus aureus,1280,NorA,0.998206000000000,"Acriflavine,CiprOfloxacin,Norfloxacin"
Staphylococcus aureus,1280,Sul1,0.000027000000000,"Mafenide,Sulfacetamide,Sulfadiazine,Sulfadimidine,Sulfadoxine,Sulfamethizole,Sulfamethoxazole,Sulfasalazine,Sulfisoxazole"
Staphylococcus aureus,1280,Sul2,0.000027000000000,"Mafenide,Sulfacetamide,Sulfadiazine,Sulfadimidine,Sulfadoxine,Sulfamethizole,Sulfamethoxazole,Sulfasalazine,Sulfisoxazole"
Staphylococcus aureus,1280,AcrD,0.999375000000000,Aminoglycoside antibiotic
Staphylococcus aureus,1280,AcrE,0.000014000000000,"Cephalosporin,Cephamycin,Fluoroquinolone antibiotic,Penam"
Staphylococcus aureus,1280,AcrF,0.999375000000000,"Cephalosporin,Cephamycin,Fluoroquinolone antibiotic,Penam"
Staphylococcus aureus,1280,CRP,0.000014000000000,"Fluoroquinolone antibiotic,Macrolide antibiotic,Penam"
Staphylococcus aureus,1280,Staphylococcus aureus mupA conferring resistance to mupirocin,0.033445000000000,Mupirocin
Staphylococcus aureus,1280,MacB,0.000041000000000,Macrolide antibiotic
Staphylococcus aureus,1280,Erm 23S ribosomal RNA methyltransferase,0.383684000000000,"Lincosamide antibiotic,Macrolide antibiotic,Streptogramin antibiotic"
Staphylococcus aureus,1280,Tet(38),0.998818000000000,Tetracycline
Staphylococcus aureus,1280,VanR,0.000544000000000,glycoPeptide antibiotic
Staphylococcus aureus,1280,ErmT,0.014759000000000,"Azithromycin,Clarithromycin,Clindamycin,Dalfopristin,Dirithromycin,Erythromycin,Griseoviridin,Lincomycin,Madumycin II,Oleandomycin,Ostreogrycin B3,Patricin A,Patricin B,Pristinamycin IA,Pristinamycin IB,Pristinamycin IC,Quinupristin,Roxithromycin,Spiramycin,Telithromycin,Tylosin,Vernamycin C,Virginiamycin M1,Virginiamycin S2"
Staphylococcus aureus,1280,ErmX,0.000014000000000,"Azithromycin,Clarithromycin,Clindamycin,Dalfopristin,Dirithromycin,Erythromycin,Griseoviridin,Lincomycin,Madumycin II,Oleandomycin,Ostreogrycin B3,Patricin A,Patricin B,Pristinamycin IA,Pristinamycin IB,Pristinamycin IC,Quinupristin,Roxithromycin,Spiramycin,Telithromycin,Tylosin,Vernamycin C,Virginiamycin M1,Virginiamycin S2"
Staphylococcus aureus,1280,MecA,0.635668000000000,Methicillin
Staphylococcus aureus,1280,PC1 beta-lactamase (blaZ),0.836581000000000,Penam
Staphylococcus aureus,1280,MarR,0.999959000000000,"Cephalosporin,Disinfecting agents and antiseptics,Fluoroquinolone antibiotic,Penam,Phenicol antibiotic,Rifamycin antibiotic,Tetracycline antibiotic"
Staphylococcus aureus,1280,Antibiotic sensitive dihydrofolate reductase,0.999402000000000,"Brodimoprim,Iclaprim,Tetroxoprim,Trimethoprim"
Staphylococcus aureus,1280,MepR,0.998464000000000,Tetracycline antibiotic
Staphylococcus aureus,1280,MexE,0.000027000000000,"Diaminopyrimidine antibiotic,Fluoroquinolone antibiotic,Phenicol antibiotic"
Staphylococcus aureus,1280,MexH,0.000054000000000,"Disinfecting agents and antiseptics,Fluoroquinolone antibiotic,Tetracycline antibiotic"
Staphylococcus aureus,1280,MexI,0.000041000000000,"Disinfecting agents and antiseptics,Fluoroquinolone antibiotic,Tetracycline antibiotic"
Staphylococcus aureus,1280,MgrA,0.999171000000000,"Cephalosporin,Disinfecting agents and antiseptics,Fluoroquinolone antibiotic,Penam,Peptide antibiotic,Tetracycline antibiotic"
Staphylococcus aureus,1280,CpxA,0.000014000000000,"Aminocoumarin antibiotic,Aminoglycoside antibiotic"
Staphylococcus aureus,1280,ArlR,0.998981000000000,"Disinfecting agents and antiseptics,Fluoroquinolone antibiotic"
Staphylococcus aureus,1280,ArlS,0.996725000000000,"Disinfecting agents and antiseptics,Fluoroquinolone antibiotic"
Staphylococcus aureus,1280,Defensin resistant mprF,0.994401000000000,Peptide antibiotic
Staphylococcus aureus,1280,TEM-1,0.000068000000000,"Amoxicillin,Ampicillin,Cefalotin,Cefazolin"
Staphylococcus aureus,1280,TEM-116,0.000448000000000,"Cephalosporin,Monobactam,Penam,Penem"
Staphylococcus aureus,1280,TEM-162,0.000014000000000,"Cephalosporin,Monobactam,Penam,Penem"
Staphylococcus aureus,1280,TEM-171,0.000041000000000,"Cephalosporin,Monobactam,Penam,Penem"
Staphylococcus aureus,1280,TEM-181,0.000109000000000,"Cephalosporin,Monobactam,Penam,Penem"
Staphylococcus aureus,1280,MecC,0.003629000000000,Methicillin
Staphylococcus aureus,1280,TEM-207,0.000027000000000,"Cephalosporin,Monobactam,Penam,Penem"
Staphylococcus aureus,1280,OXA-2,0.000014000000000,"Amoxicillin,Ampicillin,Ceftazidime,Meropenem"
Staphylococcus aureus,1280,OXA-72,0.000014000000000,"CarbaPenem,Cephalosporin,Penam"
Staphylococcus aureus,1280,OXA-181,0.000014000000000,"CarbaPenem,Cephalosporin,Penam"
Staphylococcus aureus,1280,KPC-2,0.000014000000000,"CarbaPenem,Cephalosporin,Monobactam,Penam"
Staphylococcus aureus,1280,AAC(6')-Ie-APH(2'')-Ia bifunctional protein,0.157453000000000,"2'-N-ethylNetilmicin,5-epiSisomicin,Amikacin,Dibekacin,Gentamicin A,Kanamycin A,Netilmicin,Sisomicin,Tobramycin"
Staphylococcus aureus,1280,AadA,0.000041000000000,"Spectinomycin,Streptomycin"
Staphylococcus aureus,1280,AadA24,0.000041000000000,"Spectinomycin,Streptomycin"
Staphylococcus aureus,1280,ANT(6)-Ia,0.013101000000000,Streptomycin
Staphylococcus aureus,1280,Aad(6),0.041014000000000,Streptomycin
Staphylococcus aureus,1280,ANT(9)-Ia,0.212016000000000,Spectinomycin
Staphylococcus aureus,1280,Spd,0.001413000000000,Spectinomycin
Staphylococcus aureus,1280,APH(2'')-IIIa,0.000041000000000,"Amikacin,Gentamicin A,Kanamycin A,Tobramycin"
Staphylococcus aureus,1280,APH(3'')-Ib,0.000041000000000,Streptomycin
Staphylococcus aureus,1280,APH(3')-Ia,0.000190000000000,"Gentamicin B,Kanamycin A,Neomycin,Paromomycin,Ribostamycin"
Staphylococcus aureus,1280,APH(3')-IIa,0.000245000000000,"Butirosin,Gentamicin B,Kanamycin A,Neomycin,Paromomycin,Ribostamycin"
Staphylococcus aureus,1280,APH(3')-IIIa,0.183831000000000,"Amikacin,Butirosin,Gentamicin B,Isepamicin,Kanamycin A,Neomycin,Paromomycin,Ribostamycin"
Staphylococcus aureus,1280,APH(6)-Id,0.000027000000000,Streptomycin
Staphylococcus aureus,1280,Limosilactobacillus reuteri cat-TC,0.000014000000000,"Azidamfenicol,Chloramphenicol,Thiamphenicol"
Staphylococcus aureus,1280,CatI,0.000041000000000,"Azidamfenicol,Chloramphenicol,Thiamphenicol"
Staphylococcus aureus,1280,CmlA5,0.000014000000000,Chloramphenicol
Staphylococcus aureus,1280,Cmx,0.000014000000000,Chloramphenicol
Staphylococcus aureus,1280,FexA,0.021173000000000,"Chloramphenicol,Florfenicol"
Staphylococcus aureus,1280,QnrD1,0.000014000000000,CiprOfloxacin
Staphylococcus aureus,1280,MsrC,0.000014000000000,"Erythromycin,Quinupristin"
Staphylococcus aureus,1280,VgaA,0.000571000000000,"Clindamycin,Virginiamycin M1"
Staphylococcus aureus,1280,VgaALC,0.000666000000000,"Clindamycin,Lincomycin,Virginiamycin M1"
Staphylococcus aureus,1280,VgaC,0.000095000000000,"Clindamycin,Lincomycin,Tiamulin,Valnemulin,Virginiamycin M1"
Staphylococcus aureus,1280,VgaE,0.004485000000000,"Clindamycin,Tiamulin,Virginiamycin M1"
Staphylococcus aureus,1280,LnuA,0.020154000000000,"Lincomycin,Pirlimycin"
Staphylococcus aureus,1280,LnuB,0.017422000000000,"Clindamycin,Lincomycin"
Staphylococcus aureus,1280,VatB,0.000041000000000,Virginiamycin M1
Staphylococcus aureus,1280,DfrA14,0.000027000000000,Trimethoprim
Staphylococcus aureus,1280,DfrA8,0.000014000000000,Trimethoprim
Staphylococcus aureus,1280,DfrC,0.048842000000000,Trimethoprim
Staphylococcus aureus,1280,DfrD,0.000041000000000,Trimethoprim
Staphylococcus aureus,1280,DfrF,0.000340000000000,Trimethoprim
Staphylococcus aureus,1280,DfrG,0.095904000000000,Trimethoprim
Staphylococcus aureus,1280,DfrK,0.015914000000000,Trimethoprim
Staphylococcus aureus,1280,SAT-4,0.173217000000000,Streptothricin
Staphylococcus aureus,1280,VanR gene in vanA cluster,0.000530000000000,glycoPeptide antibiotic
Staphylococcus aureus,1280,VanS gene in vanA cluster,0.000516000000000,glycoPeptide antibiotic
Staphylococcus aureus,1280,VanH gene in vanA cluster,0.000544000000000,glycoPeptide antibiotic
Staphylococcus aureus,1280,VanX gene in vanA cluster,0.000557000000000,glycoPeptide antibiotic
Staphylococcus aureus,1280,VanY gene in vanA cluster,0.000544000000000,glycoPeptide antibiotic
Staphylococcus aureus,1280,VanZ gene in vanA cluster,0.000544000000000,glycoPeptide antibiotic
Staphylococcus aureus,1280,BacA,0.000082000000000,"Bacitracin A,Bacitracin B,Bacitracin F"
Staphylococcus aureus,1280,DfrA16,0.000027000000000,Trimethoprim
Staphylococcus aureus,1280,QacA,0.052973000000000,Fluoroquinolone antibiotic
