pathogen_name	taxonid	ARG_name	aro_id	frequency	antibiotic_name	drugclass	associated_MGE_type	associated_MGE_element
Campylobacter jejuni	197	Tetracycline-resistant ribosomal protection protein	0000002	0.433963		Tetracycline antibiotic		
Campylobacter jejuni	197	ATP-binding cassette (ABC) antibiotic efflux pump	0010001	0.999982				
Campylobacter jejuni	197	Major facilitator superfamily (MFS) antibiotic efflux pump	0010002	0.999982				
Campylobacter jejuni	197	Resistance-nodulation-cell division (RND) antibiotic efflux pump	0010004	0.997338				
Campylobacter jejuni	197	Determinant of antibiotic resistance	3000000	1				
Campylobacter jejuni	197	Beta-lactamase	3000001	0.999947				
Campylobacter jejuni	197	Class B (metallo-) beta-lactamase	3000004	0.999947				
Campylobacter jejuni	197	VanX	3000011	0.000018		glycoPeptide antibiotic		
Campylobacter jejuni	197	TEM beta-lactamase	3000014	0.000018	Ampicillin	Penam		
Campylobacter jejuni	197	CTX-M beta-lactamase	3000016	0.000018		Cephalosporin		
Campylobacter jejuni	197	OXA beta-lactamase	3000017	0.749599	Cefalotin,ClOxacillin,Oxacillin	Cephalosporin,Penam		
Campylobacter jejuni	197	VanS	3000071	0.000071		glycoPeptide antibiotic		
Campylobacter jejuni	197	EmrB	3000074	0.000564		Fluoroquinolone antibiotic		
Campylobacter jejuni	197	Class D beta-lactamase	3000075	0.749599				
Campylobacter jejuni	197	VanY	3000077	0.000018		glycoPeptide antibiotic		
Campylobacter jejuni	197	Class A beta-lactamase	3000078	0.000088				
Campylobacter jejuni	197	Multidrug and toxic compound extrusion (MATE) transporter	3000112	0.997162				
Campylobacter jejuni	197	Aminoglycoside acetyltransferase (AAC)	3000121	0.976486				
Campylobacter jejuni	197	Chloramphenicol acetyltransferase (CAT)	3000122	0.006804		Phenicol antibiotic		
Campylobacter jejuni	197	APH(3')	3000126	0.078949		Aminoglycoside antibiotic		
Campylobacter jejuni	197	APH(6)	3000151	0.000035		Aminoglycoside antibiotic		
Campylobacter jejuni	197	Tet(A)	3000165	0.000035	Tetracycline	Tetracycline antibiotic		
Campylobacter jejuni	197	Tet(M)	3000186	0.435514	Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline	Tetracycline antibiotic		
